feature1,feature2,label
1.2555,1.5943,1
1.2413,1.4264,1
1.1569,1.0635,1
2.5356,2.2318,1
1.2614,-1.5932,0
0.7635,1.6219,1
-2.1528,-0.6098,0
1.9424,2.0775,1
-0.9857,2.3652,1
0.0432,1.9474,1
-2.5080,-1.2984,0
-2.5435,1.5552,1
-0.5417,1.0153,1
-1.9741,-0.8775,0
-1.2989,1.3375,1
-0.7289,-2.4732,0
-1.5708,1.2452,1
2.1527,2.6022,1
-2.2951,1.7640,1
2.8921,-0.9052,1
1.1685,-2.3242,0
1.5977,1.7895,1
-0.2047,2.6656,1
0.6048,2.8693,1
0.6794,1.8873,1
1.9174,2.0530,1
-2.2656,0.4697,0
1.3756,2.4040,1
-1.0939,0.8569,1
2.8354,0.7111,1
-1.4409,0.4711,0
0.1803,-2.0587,0
-2.2745,0.1869,0
1.4786,-1.2384,0
-1.3954,-2.0164,0
2.4058,-2.8774,0
2.2920,-2.1760,0
-0.8591,-0.1829,0
-2.1718,-1.9160,0
-1.4784,-1.9273,0
1.2321,-0.9306,0
0.6560,-1.2172,0
-1.2878,-0.3525,0
-2.4815,0.3152,0
1.8946,0.7343,1
-0.8598,-1.2731,0
-1.5613,-2.8872,0
-0.9713,-2.7057,0
-2.8067,-2.4239,0
1.1856,-0.2942,1
2.9131,-2.9621,0
-2.7075,2.2038,1
-1.1884,-2.4150,0
-0.2290,1.6619,1
2.8685,-0.9847,1
-1.4440,2.0554,1
0.3190,-2.8200,0
-0.6115,1.6701,1
1.5053,2.9193,1
2.2593,0.8132,1
0.7574,0.4846,1
-2.4581,-2.6918,0
2.4380,0.7863,1
-2.2670,0.8061,0
2.8704,-2.9802,0
-0.7519,-1.6578,0
-2.1574,-2.8979,0
0.2693,2.4956,1
-0.9469,0.1057,0
2.9449,1.8111,1
-0.0785,-1.6846,0
-2.0517,-0.3322,0
2.5149,-2.2279,0
2.5060,1.1665,1
0.9963,-1.4696,0
-2.8998,1.5760,1
-2.4332,-2.8759,0
