feature1,feature2,label
2.8999,1.4472,1
-0.7699,-1.6319,0
-0.6114,1.8803,1
-2.4165,2.2056,1
-2.5869,1.0192,0
-0.1869,2.2787,1
-1.1821,-0.5606,0
2.4155,-0.5390,1
0.9130,-0.9217,0
1.3110,1.9843,1
2.7479,2.6926,1
-0.0512,0.2623,1
1.0673,-2.3920,0
0.3041,1.2878,1
-1.1045,2.6341,1
2.0587,-2.4631,0
0.7278,-2.1666,0
-0.5781,1.4459,1
-1.9186,0.2391,0
-0.0815,-1.7783,0
-2.4724,2.0344,1
-0.7316,2.8397,1
0.2515,2.7737,1
2.7419,1.0528,1
2.9857,0.7833,1
-1.5763,0.7832,0
1.1222,-1.6677,0
0.7558,-2.0596,0
1.4877,-2.0295,0
-1.3620,2.3610,1
1.6021,-2.1507,0
1.1033,-2.4312,0
-1.4089,1.1918,1
-0.5309,-0.8228,0
-1.7452,2.2234,1
1.1239,0.3986,1
-0.4441,0.8928,1
-1.9958,1.9136,1
0.2115,0.1044,1
-2.7391,1.0515,0
2.7295,2.1272,1
-1.1066,-0.3603,0
0.9892,0.3370,1
-1.5820,0.2759,0
-2.7163,-1.9828,0
1.7925,0.0122,1
-0.1910,-2.8601,0
2.4829,2.2378,1
0.7032,-1.6414,0
0.9162,0.4000,1
-2.3780,-1.0485,0
-2.7885,1.2226,0
0.4450,-2.6126,0
1.3585,-1.1028,1
0.1545,1.4043,1
1.1329,2.1520,1
1.4151,-2.6219,0
-1.1824,1.0929,1
2.3129,1.8154,1
-2.1670,1.9263,1
-2.5259,1.0008,0
-1.9658,0.5037,0
-0.2018,-1.0386,0
-0.7917,0.1396,0
-1.8611,2.4106,1
1.2877,2.3342,1
2.5836,-0.9799,1
-0.3968,-0.9163,0
-2.5539,-1.4055,0
-2.3550,-2.2518,0
1.9560,-1.9653,0
-2.3229,-0.4639,0
-1.6698,1.1836,1
2.4156,2.6962,1
1.1700,-0.3069,1
0.9154,1.9497,1
-2.5416,1.4799,1
-2.3953,-0.1764,0
-0.2742,0.2559,1
0.8043,-2.8012,0
-2.6638,-2.2175,0
-0.3409,1.9278,1
1.5115,-1.6193,0
1.7674,2.5142,1
2.6133,1.1407,1
-1.3948,2.0234,1
-2.2725,-1.1219,0
2.5935,-0.9397,1
-0.9495,2.7177,1
-2.4321,-2.3091,0
-2.2793,-2.8979,0
-2.6605,1.7814,1
1.4124,2.6488,1
0.7565,-1.7416,0
0.7445,2.9628,1
2.1777,-2.8231,0
-1.1350,-0.4023,0
1.6938,-2.7943,0
2.8346,-2.2029,0
-2.1218,-0.4410,0
1.2581,2.2380,1
1.5516,2.0914,1
1.6459,-1.7018,0
1.6528,2.1997,1
-1.0910,-0.0002,0
-1.5870,1.8569,1
-2.0900,-1.4057,0
2.8437,1.3412,1
2.3106,-2.4831,0
1.0371,2.5469,1
2.9712,1.3823,1
-2.7192,0.6065,0
-1.5072,2.8971,1
-0.9603,-0.3062,0
0.1536,1.4570,1
-1.6488,-0.0332,0
-2.5117,1.0559,0
-1.4677,-2.9523,0
1.7460,-2.9121,0
2.0985,0.1628,1
-1.2394,-2.0275,0
-2.7955,-0.1269,0
2.6072,0.1599,1
2.4978,-0.2262,1
2.3492,0.9592,1
-2.9966,-2.9367,0
0.8302,0.8273,1
-1.9403,-1.6470,0
-2.9335,-2.9807,0
2.4132,1.8966,1
0.0046,0.2922,1
-1.9185,-0.7840,0
2.4019,2.1108,1
2.6051,1.3971,1
-0.2937,-1.2632,0
-0.2590,-0.8989,0
2.2683,-0.2596,1
2.0280,2.7122,1
0.1946,-2.4543,0
-0.9139,2.5349,1
-2.5278,-0.4171,0
-2.8024,1.5197,0
-0.1004,0.3153,1
2.4895,-2.4631,0
-0.5582,2.4608,1
-0.9647,1.1320,1
-0.6939,-1.5738,0
2.9864,-1.3085,1
-1.0435,-1.8772,0
2.0519,-1.8984,0
0.8209,-2.6718,0
0.6821,-1.5094,0
-1.9529,0.0963,0
-0.2833,-2.2767,0
0.4579,-2.8931,0
2.1580,-1.8154,0
2.6928,-0.2909,1
-2.3558,-2.4837,0
-2.6269,0.9143,0
-1.4844,-0.1006,0
-0.1145,-1.6584,0
0.2123,2.2406,1
1.2668,2.9193,1
-0.9809,2.4380,1
-1.2331,-0.7939,0
-2.3429,0.0369,0
-1.3142,1.4946,1
-2.1492,-1.2425,0
-1.1434,1.2264,1
-2.6139,-1.2094,0
-1.1517,1.7844,1
1.5344,-0.6928,1
0.5768,0.9971,1
0.2025,-2.1246,0
-0.4726,0.3344,1
-0.2645,0.8652,1
2.9924,-1.3260,1
-0.2525,2.4932,1
-1.0504,-0.6201,0
0.3282,1.6048,1
-1.4125,1.8304,1
-1.6010,0.9470,1
1.9193,-0.0391,1
0.9678,-0.9344,0
-1.9948,-1.5143,0
1.0034,-0.6860,1
0.4478,1.5932,1
-0.8119,1.4415,1
-1.0567,0.6545,1
2.6547,1.9190,1
-2.3272,0.1859,0
-2.5483,-1.9799,0
-0.8137,2.4265,1
-1.3846,0.5764,0
-0.2527,0.8316,1
2.0328,0.3499,1
0.0147,0.8279,1
-1.0530,1.9645,1
0.2336,2.8999,1
-2.2434,1.5641,1
2.2180,0.8402,1
-0.9235,1.4333,1
1.9625,-2.8442,0
-1.0383,2.7413,1
-1.9867,-0.2941,0
1.1251,2.4330,1
-1.4741,2.8422,1
1.8604,0.1877,1
2.4032,-1.5045,1
1.6257,0.2042,1
-0.9157,2.3407,1
-1.4597,0.9628,1
-0.3032,2.8801,1
-0.2571,2.0937,1
-1.2083,0.5933,0
0.1470,1.6015,1
2.2489,-0.3273,1
1.1255,-0.7878,0
-0.7406,2.5272,1
-0.4787,1.8710,1
-2.8419,-0.7632,0
-2.6886,-0.9370,0
-1.9614,1.5208,1
2.2444,1.9807,1
-0.5640,0.2272,1
2.2710,-2.1215,0
1.5682,2.8664,1
-0.5913,0.9533,1
-1.7968,0.3494,0
2.5894,-2.4318,0
-0.0677,-1.4044,0
1.9425,-2.3745,0
0.9941,2.9988,1
-1.7933,2.2361,1
-0.0022,2.3660,1
2.2492,1.6434,1
0.2043,0.3320,1
2.4385,2.1978,1
2.8690,2.9479,1
-1.8510,1.2305,1
-0.4552,1.5498,1
0.2804,1.7511,1
-0.4502,2.9394,1
0.6022,-2.1917,0
2.3028,-2.0334,0
-0.3724,1.9379,1
0.1938,-0.8251,0
-0.9310,2.6584,1
-0.7785,-0.0192,0
-0.6628,-0.1355,0
