feature1,feature2,label
-0.8707,-1.6688,0
1.7767,0.5568,1
1.2706,-0.0713,1
-0.7654,-1.5526,0
2.9182,2.3328,1
1.0378,-2.3459,0
-1.9362,0.7382,0
2.0879,1.9832,1
-2.1413,-1.6334,0
1.1967,0.1090,1
1.8887,2.7379,1
2.0635,1.8573,1
1.8188,-1.8578,0
-1.5705,-1.1315,0
2.6222,-0.2967,1
-0.5756,1.9129,1
-2.1382,1.2398,1
0.8069,1.8947,1
-1.2956,-1.3905,0
0.7101,-1.2991,0
0.9159,1.0495,1
-0.7448,2.4350,1
-2.7838,0.1052,0
2.9853,1.3467,1
-1.2080,0.3996,1
1.9356,-0.2185,1
-2.2296,1.7368,1
1.4563,-0.3764,1
0.0524,0.9021,1
0.6904,-1.6917,0
-1.5746,1.4406,1
-0.8089,-1.0419,0
-0.8616,2.0283,1
-2.8656,-0.3631,0
1.0853,-0.8314,0
-1.0140,2.1755,1
-2.9117,2.6386,1
-1.2565,2.9133,1
-2.3610,-1.9580,0
-1.3603,-0.3697,0
-2.7961,2.2777,1
-1.0136,0.6879,1
1.4636,-2.0171,0
1.7959,-2.9114,0
2.2920,1.9773,1
-1.9955,-0.7902,0
-0.1716,1.0437,1
-0.5691,-0.2830,0
2.6821,-0.6079,1
1.5483,0.4373,1
-2.4881,0.2888,0
0.4390,-2.3326,0
1.8041,-1.8432,0
1.2486,2.7601,1
-0.5939,-1.9669,0
0.3206,-2.9895,0
-0.0949,1.3040,1
2.9906,0.3014,1
2.2712,-2.7091,0
-0.2449,1.2208,1
-2.9922,-2.0079,0
2.5427,-0.5721,1
-0.8097,0.9932,1
0.5323,1.7419,1
-2.0482,2.4014,1
-2.5503,-0.5096,0
-0.5831,-1.5647,0
1.9366,2.1998,1
1.9333,-1.9641,0
-2.0902,-1.0709,0
-2.1530,-1.1533,0
-2.5639,0.9529,0
1.7563,2.4440,1
-2.9332,-1.7845,0
1.7698,-2.5580,0
2.6550,-0.1738,1
